"","timestep","total_ag_production","total_bg_production","total_excretion","total_pp","reef_ag_production","reef_bg_production","total_reef_pp","not_reef_ag_production","not_reef_bg_production","total_not_reef_pp","total_fish_biomass","n_indiv","gs_ratio","replicate_num","temperature","total_pppb","reef_pppb","not_reef_pppb","starvation_deaths","natural_deaths","bgvmax","bgkm","bggamma","agvmax","agkm","aggamma","sgthres","sgslope","sgslough","diffusion","det_min","movement","popk","respint","respslope","resptemplo","resptempopt","resptempmax","id","behavior","comp"
"11",87600,0.358106247224738,0.444982961437554,77963.8570444862,0.803089208662291,6.75131764974483,1.02973808678896,7.78105573653379,0.146673046645322,0.425644222277524,0.572317268922845,41599.6389512382,40,1,1,26,1.93051966052794e-05,0.000187046232436164,1.37577460610583e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"12",87600,0.360736212375867,0.445858660279026,78858.8003801421,0.806594872654893,6.8286915306277,1.0331174232786,7.86180895390629,0.146831117105034,0.426437122023563,0.573268239128596,42090.0963838808,40,1,2,26,1.91635311380231e-05,0.00018678524473318,1.3620026761168e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"13",87600,0.360822110065243,0.44574308993371,78821.2591872855,0.806565199998953,6.82523114537407,1.03357336309015,7.85880450846422,0.147034295751599,0.426302650970289,0.573336946721887,42094.1337412541,40,1,3,26,1.91609882022227e-05,0.000186695955231459,1.36203526659106e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"14",87600,0.359881624988703,0.445602879477601,78529.4758400812,0.805484504466303,6.79802822884706,1.03256650260012,7.83059473144717,0.146962349127327,0.426191101945645,0.573153451072972,41938.0696496941,40,1,4,26,1.92065231231304e-05,0.000186718053473982,1.36666626733296e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"15",87600,0.361540473648135,0.446089580013085,78983.535190564,0.80763005366122,6.8394463857814,1.03512335436196,7.87456974014336,0.147306297141041,0.426609339439331,0.573915636580372,42234.5231503589,40,1,5,26,1.91225091090997e-05,0.000186448647996075,1.3588779836277e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"16",87600,0.35823665612606,0.44485500428122,78018.3082992379,0.80309166040728,6.75669127154209,1.02958249606029,7.78627376760238,0.146630054541405,0.425517179005351,0.572147233546756,41609.5000613883,40,1,6,26,1.93006803547854e-05,0.000187127308814452,1.37503991324732e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"17",87600,0.361885188385205,0.446019909645988,79054.0136565768,0.807905098031193,6.85045874843448,1.03568370644744,7.88614245488192,0.147298216577044,0.426518833273885,0.573817049850929,42282.502419948,40,1,7,26,1.91073151254652e-05,0.000186510778774565,1.35710286054454e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"18",87600,0.356260875439404,0.444387887706329,77418.0798187336,0.800648763145733,6.70272996105473,1.026776384404,7.72950634545874,0.146373514195408,0.425127416546422,0.57150093074183,41256.7268832788,40,1,8,26,1.94065022513997e-05,0.000187351419498852,1.38523090394129e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"19",87600,0.35998685107224,0.445713855425057,78534.6704284178,0.805700706497297,6.80129482431618,1.0330955923217,7.83439041663788,0.146963023928993,0.426288250236247,0.57325127416524,41960.6056313549,40,1,9,26,1.92013602848296e-05,0.000186708230225916,1.36616539618503e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
"20",87600,0.36572832062537,0.447160490538396,80191.5478036256,0.812888811163765,6.95330278862276,1.04118997922451,7.99449276784727,0.147867238591557,0.427515034112233,0.57538227270379,42985.7279732701,40,1,10,26,1.89106675515475e-05,0.000185980164691372,1.33854258106686e-05,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,36,40,"G","F","movement"
