"","level","total_pp","total_reef_pp","total_not_reef_pp","total_pppb","reef_pppb","not_reef_pppb","param","fish"
"sens_vec_g22",1.05,0.0286360522318008,0.0717693891774562,0.00896886683587894,-0.0221869387175389,0.000234489829731288,-0.0324075702268001,"agkm","G"
"sens_vec_s22",1.05,0.0114047307151699,0.045880504878637,0.0036569483925053,-0.0685991239104622,-0.0343740822252525,-0.0762901377698744,"agkm","S"
"sens_vec_g23",1.1,0.113097670835161,0.257059141078653,0.0474566347911098,-0.200104549276736,-0.0485452175682077,-0.269191676259761,"agkm","G"
"sens_vec_s23",1.1,0.0251011172350379,0.112839544515353,0.00538355461630058,-0.170190957594896,-0.0815768294420538,-0.190104227358945,"agkm","S"
"sens_vec_g24",0.9,4.79714670044882,10.4381674515379,2.22505261290513,3.8192939013336,9.41319187247427,1.26935959438157,"aggamma","G"
"sens_vec_s24",0.9,2.88674462361038,7.88371766489189,1.76376884321634,2.92531456997678,7.9241510215375,1.80198152093234,"aggamma","S"
"sens_vec_g25",0.95,2.23878353314111,4.8516685017548,1.0474058949884,1.87071881193155,4.47997302421865,0.681310841711946,"aggamma","G"
"sens_vec_s25",0.95,1.34828215147604,3.61536103747662,0.838798778204031,1.59070170560023,3.86488507232163,1.0796497117652,"aggamma","S"
"sens_vec_g26",1.05,-2.30384374684569,-5.09026298581102,-1.03334098392341,-1.0571086231401,-3.87584540195025,0.227790324183741,"aggamma","G"
"sens_vec_s26",1.05,-1.14845657241182,-3.36431779372783,-0.650483406718283,-1.2082204762115,-3.4209974418617,-0.710967661528361,"aggamma","S"
"sens_vec_g27",1.1,-3.32460247590309,-7.41960978994927,-1.45743258490901,-3.87338733305731,-7.94983113553661,-2.01517255046189,"aggamma","G"
"sens_vec_s27",1.1,-2.22722957780347,-6.56516682509396,-1.25235970651696,-2.11907931369506,-6.46068385284048,-1.14343869973164,"aggamma","S"
"sens_vec_g28",0.9,-0.244923729406099,0.313842753657756,-0.499700308118156,-0.753279306721433,-0.202522082837064,-1.00433764693959,"sgthres","G"
"sens_vec_s28",0.9,-0.0282243780673652,-0.00421798365729531,-0.0336193640467553,-0.511167469233909,-0.489572840920494,-0.51602019044239,"sgthres","S"
"sens_vec_g29",0.95,-0.357914167923279,-0.339306596530109,-0.366398523233391,-0.0174059371332747,0.0106318242342196,-0.0301867296986558,"sgthres","G"
"sens_vec_s29",0.95,0.00693081043277033,0.107735083094163,-0.0157230553823551,-0.384725262182928,-0.282608193108302,-0.407672898032718,"sgthres","S"
"sens_vec_g30",1.05,-0.0856734696636718,-0.632282158711395,0.163559610542263,0.760319486254724,0.217420804150792,1.00779557213226,"sgthres","G"
"sens_vec_s30",1.05,0.0526697014613386,0.16022156854647,0.0284994406104078,0.0720878330420671,0.181855168391198,0.0474210377392037,"sgthres","S"
"sens_vec_g31",1.1,0.569816483476093,0.276680115129602,0.703475683315502,0.352969883666132,0.0604887114260544,0.486295121108848,"sgthres","G"
"sens_vec_s31",1.1,0.114109371645954,0.357918153930359,0.059317929848901,0.0389684279882063,0.280985559919245,-0.0154173966666837,"sgthres","S"
"sens_vec_g32",0.9,0.109883084875384,-0.296652581900969,0.295248115608393,0.777923757037757,0.36646225834509,0.965485238659225,"sgslope","G"
"sens_vec_s32",0.9,0.115463248848902,0.556022586155724,0.0164558174429619,0.170976167653847,0.612885289978315,0.071670833984383,"sgslope","S"
"sens_vec_g33",0.95,0.170857787338341,0.113769111138606,0.196888084512969,0.168205313100023,0.122080791577761,0.189230812747709,"sgslope","G"
"sens_vec_s33",0.95,0.0830361491170217,0.373549431398179,0.0177487486869188,-0.0269391311090161,0.263749705769589,-0.0922624079591872,"sgslope","S"
"sens_vec_g34",1.05,-0.0918937563913924,0.0448042221473877,-0.154222912388713,-0.302294735110398,-0.160961283197403,-0.366720475374538,"sgslope","G"
"sens_vec_s34",1.05,-0.113938461555729,-0.529444206035634,-0.0205613542928806,0.257098354014484,-0.15892610227114,0.350586913899353,"sgslope","S"
"sens_vec_g35",1.1,-0.324987586200565,-0.213346507753587,-0.375891734664313,-0.344350710583319,-0.227220669486994,-0.397743516763738,"sgslope","G"
"sens_vec_s35",1.1,-0.137913197782746,-0.662700198212829,-0.0199771820228012,0.0176193372170896,-0.505625776295116,0.135202405688095,"sgslope","S"
"sens_vec_g36",0.9,-4.272991363139,-1.23154357664066,-5.65977758754967,-3.69385612122852,-0.626348370901353,-5.09215535545738,"sgslough","G"
"sens_vec_s36",0.9,-5.11502955541967,-1.6339998883901,-5.89732555233881,-4.91594457935305,-1.42765830035374,-5.69982844906933,"sgslough","S"
"sens_vec_g37",0.95,-2.02182137564247,-0.406290422787825,-2.75844295450816,-1.96368859283833,-0.340090550116612,-2.70379296570946,"sgslough","G"
"sens_vec_s37",0.95,-2.56450190755761,-0.991044511456352,-2.91810688655316,-2.23549001268689,-0.653130044918704,-2.59107621049578,"sgslough","S"
"sens_vec_g38",1.05,2.22955759785783,0.573020234902555,2.9848765631763,1.94205988792822,0.297895549839278,2.6915392444681,"sgslough","G"
"sens_vec_s38",1.05,2.77114132107701,0.958131516429805,3.17858120186405,2.42951284627699,0.624309228400932,2.83517622491818,"sgslough","S"
"sens_vec_g39",1.1,4.07059957693157,0.371099532918739,5.75743297286186,4.48424761306572,0.77703036286394,6.17415338152691,"sgslough","G"
"sens_vec_s39",1.1,5.45815144929569,1.64450671881575,6.31519643072267,5.11738653241465,1.31554714173923,5.97173171375607,"sgslough","S"
"sens_vec_g40",0.9,-0.00499212313059827,1.21536622380216,-0.561429801227131,0.371065388905145,1.60021951935645,-0.189234835006613,"diffusion","G"
"sens_vec_s40",0.9,0.0595126784830313,1.39436717476173,-0.24047078296201,-0.110618952496788,1.22509659450067,-0.410779486373891,"diffusion","S"
"sens_vec_g41",0.95,-0.0175759115005558,0.563842003175896,-0.282680694255089,0.224992932482748,0.799429678545915,-0.0368595313121056,"diffusion","G"
"sens_vec_s41",0.95,-0.025819109475389,0.440458693251733,-0.130606282644485,0.253399868263493,0.720116354485412,0.148519850966,"diffusion","S"
"sens_vec_g42",1.05,-0.134976749577909,-0.90397024196549,0.21565546795963,0.0526346098997266,-0.712925685210763,0.401609237362344,"diffusion","G"
"sens_vec_s42",1.05,0.0289107895335539,-0.43366106856696,0.132865121295467,-0.318091043969004,-0.778161016089818,-0.214704624036255,"diffusion","S"
"sens_vec_g43",1.1,-0.630340292945375,-2.56795975044213,0.253141575043658,0.73497883590572,-1.22690134155626,1.6292864540369,"diffusion","G"
"sens_vec_s43",1.1,-0.119323329572341,-1.62758219539805,0.219629505052588,0.450009205621904,-1.06617605233267,0.790724695164036,"diffusion","S"
"sens_vec_g44",0.9,-2.19621604548167,-0.91969754397121,-2.77826064968585,-1.41096211736215,-0.13364205485894,-1.99321840182399,"det_min","G"
"sens_vec_s44",0.9,-2.87912558695386,-0.544726668580786,-3.40373787232227,-2.8224049880465,-0.489121616942434,-3.34673787009724,"det_min","S"
"sens_vec_g45",0.95,-0.978487595118827,-0.263471974619545,-1.30450792568267,-0.846262550657562,-0.129540430088038,-1.17297468112907,"det_min","G"
"sens_vec_s45",0.95,-1.4088352510091,-0.243128180131691,-1.67080600746801,-1.46356861019769,-0.297948611379051,-1.72550545889999,"det_min","S"
"sens_vec_g46",1.05,0.451556987322355,-1.18934190485077,1.19974539595402,2.08896676931423,0.431696944877791,2.84442015852668,"det_min","G"
"sens_vec_s46",1.05,1.59865450212355,0.113888998487055,1.93232764511906,1.82675591477208,0.338306090170937,2.16123872812695,"det_min","S"
"sens_vec_g47",1.1,1.78106730334664,-0.350650953524079,2.75305095076499,2.58995848818411,0.446527889649762,3.56702443503747,"det_min","G"
"sens_vec_s47",1.1,3.25272339061999,0.70537256135188,3.82519261584939,2.88759904854006,0.347010266604775,3.45851737532157,"det_min","S"
"sens_vec_g48",0.9,-1.20286317555682,-3.02785436706419,-0.370735576559955,2.84034257104628,0.944548957636715,3.70452514975497,"popk","G"
"sens_vec_s48",0.9,-0.0889004460553511,-0.441785668528449,-0.00959612425445178,0.0120353686846819,-0.339096499709035,0.0909413373358925,"popk","S"
"sens_vec_g49",0.95,-0.621217489908055,-1.53608189025429,-0.204073604276989,1.41203581759899,0.482115121720761,1.83593283849532,"popk","G"
"sens_vec_s49",0.95,-0.103578125343984,-0.471533342836616,-0.0208871053804738,0.279681251894881,-0.0882964278378418,0.362372792808441,"popk","S"
"sens_vec_g50",1.05,0.588165401670171,1.4627205545523,0.18940102245304,-1.29785645143851,-0.430591737341701,-1.69319223680561,"popk","G"
"sens_vec_s50",1.05,0.00176253011183736,0.00115136806997373,0.00189987729486418,0.440762642822978,0.439882930618274,0.440960330785534,"popk","S"
"sens_vec_g51",1.1,0.987428357143338,2.49475293911263,0.300144828795368,-2.23139377582842,-0.76358106133213,-2.90048463450763,"popk","G"
